ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.217;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.218;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.219;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.220;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.221;Sign;Triangle;Paint;;Yes;2;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.222;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.223;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.224;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.225;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.226;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.227;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.228;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.229;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.230;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.231;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.232;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.233;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.234;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.235;Line;Straight;Paint;;Yes;2;Overlapping without consideration;3/3&4;Gravetto-solutrean ;3
PM.I.236;Sign;Quadrangular;Paint;;Yes;1;Overlapping with integration;3&4;Gravetto-solutrean ;3
PM.I.237;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.238;Non figurative;Stick;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.239;Line;Curved;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.240;Line;Angular line;Engraved;;Yes;1;Overlapping with integration;3&4;Lower Magdalenian ;4
PM.I.241;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.242;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.243;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1&3;Aurignacian-Gravettian ;1
PM.I.244;Dot;"
Point cloud";Paint;;Yes;1;Overlapping without consideration;1&3;Gravetto-solutrean ;3
PM.I.245;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&3;Aurignacian-Gravettian ;1
PM.I.246;Sign;Rectangle;Paint;;Yes;3;Overlapping without consideration;1&3/3;Gravetto-solutrean ;3
PM.I.247;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.248;Dot;"
Row of stitches";Paint;Yes;;;;;Gravetto-solutrean ;3
